id 	user_id 	created_at 	platform
0 	225 	2015-11-25 20:06:36 	Web
1 	175 	2015-08-08 12:39:30 	iOS
2 	453 	2015-11-11 05:44:58 	Web
3 	438 	2015-10-27 07:26:07 	Android
4 	413 	2015-11-12 19:47:57 	iOS
5 	424 	2015-11-10 23:23:49 	Android
6 	55 	2015-09-13 14:49:09 	iOS
7 	285 	2015-08-31 18:32:49 	Web
8 	28 	2015-08-16 00:34:09 	iOS
9 	22 	2015-08-11 23:53:11 	iOS
10 	347 	2015-11-11 21:12:09 	Web
11 	104 	2015-09-29 06:25:13 	Web
12 	298 	2015-11-19 00:20:34 	Web
13 	299 	2015-08-18 01:41:31 	Android
14 	445 	2015-09-27 23:29:21 	Web
15 	467 	2015-08-06 18:35:29 	iOS
16 	161 	2015-08-19 23:53:11 	Android
17 	495 	2015-10-02 10:36:23 	iOS
18 	201 	2015-10-16 06:53:48 	Android
19 	103 	2015-08-28 06:06:09 	iOS
20 	65 	2015-09-28 02:43:59 	Web
21 	303 	2015-10-15 17:57:06 	Android
22 	381 	2015-11-09 14:51:09 	Web
23 	256 	2015-11-22 20:24:16 	Web
24 	36 	2015-08-29 20:02:40 	Web
25 	190 	2015-08-07 22:09:41 	iOS
26 	475 	2015-09-27 07:21:16 	Android
27 	234 	2015-09-26 05:15:00 	Android
28 	347 	2015-09-25 23:17:42 	iOS
29 	293 	2015-10-19 14:57:54 	Web
30 	347 	2015-09-03 19:18:21 	Web
31 	378 	2015-10-03 17:40:58 	iOS
32 	219 	2015-10-29 03:57:24 	Android
33 	418 	2015-08-10 23:22:54 	iOS
34 	61 	2015-10-28 13:43:13 	iOS
35 	464 	2015-08-23 14:07:47 	iOS
36 	27 	2015-09-19 17:08:59 	Android
37 	377 	2015-11-02 15:11:55 	Web
38 	0 	2015-09-27 00:24:10 	Android
39 	68 	2015-09-05 23:57:15 	Android
40 	297 	2015-10-04 01:17:29 	iOS
41 	413 	2015-09-10 07:54:12 	Android
42 	58 	2015-11-07 06:38:52 	Android
43 	40 	2015-10-09 01:20:20 	iOS
44 	491 	2015-11-12 13:53:38 	Web
45 	468 	2015-09-30 22:13:41 	Web
46 	486 	2015-11-19 02:44:07 	Web
47 	127 	2015-09-23 16:52:43 	Web
48 	310 	2015-10-16 14:32:34 	Web
49 	174 	2015-08-29 17:05:06 	Android
50 	421 	2015-09-13 15:44:19 	iOS
51 	154 	2015-10-06 11:34:01 	Android
52 	47 	2015-08-08 19:18:53 	Web
53 	128 	2015-08-04 17:30:49 	iOS
54 	173 	2015-08-22 17:46:02 	Web
55 	310 	2015-09-05 11:38:08 	Android
56 	45 	2015-08-10 08:54:04 	Android
57 	366 	2015-08-26 05:14:05 	iOS
58 	406 	2015-09-28 15:41:51 	iOS
59 	376 	2015-08-05 23:21:22 	iOS
60 	167 	2015-10-09 04:26:57 	Web
61 	451 	2015-08-22 14:31:53 	iOS
62 	51 	2015-11-05 18:11:56 	iOS
63 	489 	2015-09-12 13:54:21 	Android
